id,time,duration,team,name
15719,2016-08-29 20:28:28,00:00:00,1,Game started
15719,2016-08-29 20:28:35,00:00:06,1,Hint 1 taken
15719,2016-08-29 20:28:44,00:00:15,1,Game exited prematurely
15719,2016-10-27 14:27:17,00:00:00,1,Game started
15719,2016-10-27 14:27:24,00:00:06,1,Hint 1 taken
15719,2016-10-27 14:27:25,00:00:07,1,Hint 2 taken
15719,2016-11-05 18:56:56,00:00:00,1,Game started
15719,2016-11-05 18:57:02,00:00:05,1,Hint 1 taken
15719,2016-11-05 18:57:12,00:00:15,1,Game exited prematurely
15719,2016-11-08 09:55:49,284:28:31,1,Game exited prematurely
15719,2016-11-08 11:03:51,00:00:00,1,Game started
15719,2016-11-08 11:03:54,00:00:03,1,Help level accessed
15719,2016-11-08 11:03:57,00:00:05,1,Returned from help level
15719,2016-11-08 11:04:00,00:00:08,1,Game exited prematurely
15719,2016-11-14 15:01:22,00:00:00,1,Game started
15719,2016-11-14 15:01:33,00:00:10,1,Game exited prematurely
15719,2016-11-14 15:01:36,00:00:00,1,Game started
15719,2016-11-14 15:01:39,00:00:02,1,Hint 1 taken
15719,2016-11-22 09:26:05,186:24:29,1,Game exited prematurely
15719,2016-11-22 09:31:40,00:00:00,1,Game started
15719,2016-11-22 09:31:50,00:00:09,1,Wrong flag submited:
15719,2016-11-22 09:32:37,00:00:56,1,Correct flag submited
15719,2016-11-24 19:09:26,57:36:49,2,Game exited prematurely
15719,2016-11-24 19:09:29,00:00:00,1,Game started
15719,2016-11-24 19:09:37,00:00:08,1,Level cowardly skipped
15719,2016-11-24 19:09:44,00:00:06,2,Level cowardly skipped
15719,2016-11-24 19:09:48,00:00:04,3,Level cowardly skipped
15719,2016-11-24 19:09:56,00:00:08,4,Level cowardly skipped
15719,2016-11-24 19:10:10,00:00:14,5,Game exited prematurely
15719,2016-11-24 19:10:14,00:00:00,1,Game started
15719,2016-11-24 19:10:19,00:00:04,1,Level cowardly skipped
15719,2016-11-24 19:11:18,00:00:59,2,Game exited prematurely
15719,2016-11-24 19:11:22,00:00:00,1,Game started
15719,2016-11-24 19:11:30,00:00:07,1,Hint 1 taken
15719,2016-11-24 19:11:31,00:00:08,1,Hint 2 taken
15719,2016-11-24 19:11:41,00:00:18,1,Level cowardly skipped
15719,2016-11-24 19:11:49,00:00:08,2,Level cowardly skipped
15719,2016-11-24 19:12:13,00:00:24,3,Game exited prematurely
15719,2016-11-24 19:12:16,00:00:00,1,Game started
15719,2016-11-24 19:12:19,00:00:03,1,Level cowardly skipped
15719,2016-11-24 19:13:20,00:01:00,2,Game exited prematurely
15719,2016-11-24 19:14:40,00:00:00,1,Game started
15719,2016-11-24 19:14:44,00:00:04,1,Level cowardly skipped
15719,2016-11-24 19:21:57,00:00:00,1,Game started
15719,2016-11-24 19:22:11,00:00:14,1,Correct flag submited
15719,2016-11-24 19:22:57,00:00:45,2,Game exited prematurely
15719,2016-11-24 19:33:25,00:00:00,1,Game started
15719,2016-11-24 19:33:25,00:00:00,1,Level cowardly skipped
15719,2016-11-24 19:33:25,00:00:00,2,Level cowardly skipped
15719,2016-11-24 19:33:25,00:00:00,3,Level cowardly skipped
15719,2016-11-24 19:33:25,00:00:00,4,Level cowardly skipped
15719,2016-11-24 19:33:25,00:00:00,5,Level cowardly skipped
15719,2016-11-24 19:33:36,00:00:11,6,Correct flag submited
15719,2016-11-24 19:33:36,00:00:11,6,Game finished
15719,2016-11-24 19:42:51,00:00:00,1,Game started
15719,2016-11-24 20:30:43,00:47:52,1,Game exited prematurely
15719,2016-11-24 20:32:49,00:00:00,1,Game started
15719,2016-11-24 20:32:49,00:00:00,1,Level cowardly skipped
15719,2016-11-24 20:32:49,00:00:00,2,Level cowardly skipped
15719,2016-11-24 20:32:49,00:00:00,3,Level cowardly skipped
15719,2016-11-24 20:32:49,00:00:00,4,Level cowardly skipped
15719,2016-11-24 20:32:49,00:00:00,5,Level cowardly skipped
15719,2016-11-24 20:32:57,00:00:07,6,Correct flag submited
15719,2016-11-24 20:32:57,00:00:07,6,Game finished
15719,2016-11-24 20:34:25,00:00:00,1,Game started
15719,2016-11-24 20:36:15,00:01:50,1,Game exited prematurely
15719,2016-11-24 20:36:20,00:00:00,1,Game started
15719,2016-11-24 20:36:20,00:00:00,1,Level cowardly skipped
15719,2016-11-24 20:36:20,00:00:00,2,Level cowardly skipped
15719,2016-11-24 20:36:20,00:00:00,3,Level cowardly skipped
15719,2016-11-24 20:36:20,00:00:00,4,Level cowardly skipped
15719,2016-11-24 20:36:20,00:00:00,5,Level cowardly skipped
15719,2016-11-24 20:36:42,00:00:21,6,Correct flag submited
15719,2016-11-24 20:36:42,00:00:21,6,Game finished
15719,2016-11-25 12:51:16,16:14:55,2,Game exited prematurely
15719,2016-11-25 12:51:31,00:00:00,1,Game started
15719,2016-11-25 12:52:15,00:00:43,1,Hint 2 taken
15719,2016-11-25 12:52:23,00:00:51,1,Hint 1 taken
15719,2016-11-25 12:52:24,00:00:53,1,Help level accessed
15719,2016-11-25 12:52:37,00:01:06,1,Level cowardly skipped
15719,2016-11-30 15:17:48,00:00:00,1,Game started
15719,2016-11-30 15:18:06,00:00:18,1,Hint 1 taken
15719,2016-11-30 15:18:13,00:00:25,1,Wrong flag submited:kdjfkdjf
15719,2016-11-30 15:18:59,00:01:11,1,Hint 2 taken
15719,2016-11-30 15:19:03,00:01:15,1,Help level accessed
15719,2016-11-30 15:19:15,00:01:26,1,Returned from help level
15719,2016-11-30 15:19:18,00:01:30,1,Level cowardly skipped
15719,2016-11-30 15:19:47,00:00:29,2,Game exited prematurely
15719,2016-11-30 15:21:13,00:00:00,1,Game started
15719,2016-11-30 15:25:09,00:03:56,1,Hint 1 taken
15719,2016-11-30 15:59:47,00:38:34,1,Hint 2 taken
15719,2016-12-05 10:19:58,00:00:00,1,Game started
15719,2016-12-05 10:25:07,00:05:08,1,Level cowardly skipped
15719,2016-12-05 10:29:11,00:04:03,2,Game exited prematurely
15719,2016-12-05 10:29:12,00:00:00,1,Game started
15719,2016-12-05 10:32:08,00:02:55,1,Hint 1 taken
15719,2016-12-05 10:32:35,00:03:23,1,Level cowardly skipped
15719,2016-12-05 10:37:42,00:05:06,2,Level cowardly skipped
15719,2016-12-05 10:47:39,00:09:57,3,Hint 1 taken
15719,2016-12-05 10:47:40,00:09:58,3,Hint 2 taken
15719,2016-12-05 10:57:31,00:19:49,3,Correct flag submited
15719,2016-12-05 11:13:30,00:15:58,4,Wrong flag submited:lkhG
15719,2016-12-05 11:13:53,00:16:21,4,Game finished
15719,2016-12-05 11:13:53,00:16:21,4,Correct flag submited
15719,2016-12-05 11:14:48,00:00:00,1,Game started
15719,2016-12-05 11:14:51,00:00:02,1,Level cowardly skipped
15719,2016-12-05 11:14:54,00:00:03,2,Level cowardly skipped
15719,2016-12-05 11:14:57,00:00:03,3,Level cowardly skipped
15719,2016-12-05 11:18:24,00:03:26,4,Game exited prematurely
15719,2016-12-05 11:19:53,00:00:00,1,Game started
15719,2016-12-05 11:19:56,00:00:03,1,Level cowardly skipped
15719,2016-12-17 22:13:04,107:53:08,2,Game exited prematurely
15719,2016-12-17 22:13:08,00:00:00,1,Game started
15719,2016-12-17 22:13:25,00:00:17,1,Game exited prematurely
15719,2016-12-17 22:13:39,00:00:00,1,Game started
15719,2016-12-17 22:13:42,00:00:03,1,Hint 1 taken
15719,2016-12-17 22:13:43,00:00:04,1,Hint 2 taken
15719,2016-12-17 22:13:44,00:00:05,1,Help level accessed
15719,2016-12-17 22:13:54,00:00:15,1,Returned from help level
15719,2016-12-17 22:16:19,00:02:40,1,Game exited prematurely
15719,2016-12-17 22:16:21,00:00:00,1,Game started
15719,2016-12-17 22:16:23,00:00:01,1,Hint 1 taken
15719,2016-12-17 22:16:25,00:00:04,1,Hint 4 taken
15719,2016-12-17 22:16:26,00:00:04,1,Hint 3 taken
15719,2016-12-17 22:16:27,00:00:05,1,Hint 2 taken
15719,2016-12-17 22:16:29,00:00:07,1,Help level accessed
15719,2016-12-17 22:16:35,00:00:14,1,Level cowardly skipped
15719,2016-12-17 22:16:43,00:00:07,2,Hint 1 taken
15719,2016-12-17 22:16:44,00:00:08,2,Hint 2 taken
15719,2016-12-17 22:16:45,00:00:09,2,Hint 3 taken
15719,2016-12-17 22:16:46,00:00:10,2,Help level accessed
15719,2016-12-17 22:16:48,00:00:12,2,Returned from help level